word,count
meeting,300
schedule,280
project,350
team,320
report,280
update,250
review,240
discuss,220
agenda,200
minutes,180
attached,300
please,350
thank,400
regards,380
sincerely,200
best,350
hello,300
hi,320
dear,150
colleague,180
deadline,150
task,200
complete,220
progress,180
status,200
feedback,220
question,250
help,200
information,180
details,200
document,180
file,200
share,220
collaboration,150
workspace,140
send,300
receive,200
forward,180
reply,250
respond,200
looking,150
forward,180
hope,200
appreciate,180
opportunity,150
